Neighborhood,Housing Rank,Crime Rank,Education Rank
Bluff,1,67,13
West End,2,20,87
Homewood West,3,57,74
Larimer,4,70,60
Homewood North,5,93,37
Beltzhoover,6,49,59
Knoxville,7,92,26
East Hills,8,84,40
St. Clair,9,23,86
Allentown,10,79,43
Lincoln-Lemington-Belmar,11,88,20
Arlington,12,19,54
Spring Garden,13,25,75
Homewood South,14,96,49
Upper Lawrenceville,15,38,41
Hays,16,13,82
Elliott,17,54,44
Perry South,18,75,35
Esplen,19,18,84
Troy Hill,20,8,48
Mt. Oliver,21,4,80
Lower Lawrenceville,22,53,42
Fineview,23,44,67
Spring Hill-City View,24,55,46
Terrace Village,25,36,47
Garfield,26,72,29
West Oakland,27,41,58
Sheraden,28,86,17
Marshall-Shadeland,29,85,15
Polish Hill,30,30,64
East Carnegie,31,11,79
Arlington Heights,32,19,88
East Liberty,33,95,18
Hazelwood,34,82,24
Upper Hill,35,46,53
Central Lawrenceville,36,70,21
Carrick,37,99,5
Bon Air,38,31,73
Beechview,39,80,9
Fairywood,40,22,69
Middle Hill,41,74,56
South Side Slopes,42,76,22
Overbrook,43,47,31
Perry North,44,64,30
Crafton Heights,45,58,27
Chartiers City,46,9,81
East Allegheny,47,81,51
South Oakland,48,50,38
Lincoln Place,49,40,32
Mount Washington,50,94,7
Windgap,51,26,61
Bedford Dwellings,52,54,66
Brighton Heights,53,87,11
Brookline,54,90,3
Stanton Heights,55,42,23
Morningside,56,37,36
Ridgemont,57,7,85
Greenfield,58,66,10
Bloomfield,59,98,8
Westwood,60,39,33
Summer Hill,61,16,68
Crawford-Roberts,62,67,50
Point Breeze North,63,52,57
Duquesne Heights,64,29,45
Manchester,65,48,52
Oakwood,66,15,70
Swisshelm Park,67,12,65
Banksville,68,34,28
California-Kirkbride,69,33,77
New Homestead,70,10,72
Allegheny West,71,32,83
Central Northside,72,27,39
Central Business District,73,100,25
Allegheny Center,74,62,63
Central Oakland,75,83,16
South Side Flats,76,101,14
Strip District,77,60,76
Friendship,78,43,55
Highland Park,79,73,12
Regent Square,80,17,71
Squirrel Hill South,81,91,1
Point Breeze,82,52,19
Shadyside,83,97,2
North Oakland,84,77,6
Squirrel Hill North,85,68,4
