,Neighborhood,Crime Value,Crime Score
86,Outside County,14.944999999999995,99.5
94,Mt. Oliver Boro,15.279999999999998,99.5
92,Mt. Oliver Neighborhood,26.199999999999964,99.1
83,Outside State,28.284999999999982,99.1
81,Ridgemont,42.36999999999995,98.6
32,Troy Hill-Herrs Island,45.92999999999998,98.5
88,Chartiers City,45.94499999999999,98.5
93,New Homestead,49.084999999999894,98.4
16,East Carnegie,63.24999999999992,97.9
85,Swisshelm Park,69.35500000000003,97.7
80,Hays,71.55999999999995,97.6
98,Mount Oliver,80.36500000000001,97.3
82,Oakwood,85.52500000000025,97.2
91,Summer Hill,88.24500000000006,97.1
50,Regent Square,97.00000000000044,96.8
72,Esplen,102.28000000000034,96.6
89,Arlington Heights,111.78000000000027,96.3
35,West End,118.71500000000042,96.1
78,Glen Hazel,119.57000000000045,96.0
87,Fairywood,127.06500000000042,95.8
90,St. Clair,132.46000000000058,95.6
29,South Shore,139.61500000000066,95.4
70,Spring Garden,143.85000000000073,95.2
76,Windgap,148.0050000000002,95.1
23,Central Northside,155.1400000000007,94.9
41,Outside City,158.79500000000053,94.7
61,Duquesne Heights,168.16000000000014,94.4
67,Polish Hill,171.09000000000043,94.3
66,Bon Air,174.86000000000084,94.2
74,Allegheny West,175.17500000000035,94.2
63,California-Kirkbride,196.14000000000064,93.5
64,Banksville,215.3900000000011,92.9
84,Chateau,215.8500000000005,92.8
73,Terrace Village,227.11000000000027,92.5
58,Morningside,245.71000000000035,91.9
1,Upper Lawrenceville,250.88000000000028,91.7
26,Westwood,256.8900000000004,91.5
68,Lincoln Place,270.6600000000014,91.0
36,West Oakland,277.6349999999998,90.8
77,Stanton Heights,286.07499999999936,90.5
21,Friendship,292.17999999999853,90.3
69,Fineview,292.7799999999984,90.3
96,Troy Hill,299.97499999999974,90.1
79,Upper Hill,314.38999999999913,89.6
55,Overbrook,325.8499999999985,89.2
48,Manchester,343.0249999999984,88.6
40,Beltzhoover,346.80499999999813,88.5
9,South Oakland,349.1299999999966,88.4
22,Arlington,372.45499999999686,87.6
65,Point Breeze North,374.71499999999537,87.6
30,Lower Lawrenceville,379.9449999999951,87.4
5,Elliott,397.67999999999677,86.8
24,Spring Hill-City View,418.51499999999567,86.1
31,Bedford Dwellings,440.9549999999943,85.4
51,Homewood West,445.52499999999554,85.2
17,Crafton Heights,445.8049999999939,85.2
2,Northview Heights,463.5399999999936,84.6
14,Strip District,476.53999999999246,84.2
97,Central North Side,480.9249999999934,84.0
52,Allegheny Center,511.57499999999624,83.0
0,North Shore,518.1449999999891,82.8
45,Perry North,518.2249999999934,82.8
60,Point Breeze,522.4499999999922,82.7
57,Greenfield,555.2199999999926,81.6
75,Crawford-Roberts,582.164999999993,80.7
49,Squirrel Hill North,604.3899999999916,80.0
13,Bluff,625.1399999999974,79.3
71,Larimer,628.2299999999942,79.2
37,Central Lawrenceville,629.369999999991,79.1
34,Garfield,630.4149999999927,79.1
53,Highland Park,649.6049999999963,78.5
54,Middle Hill,663.5899999999955,78.0
62,Perry South,671.8649999999956,77.7
7,South Side Slopes,680.5999999999899,77.4
43,North Oakland,696.5399999999948,76.9
3,Golden Triangle/Civic Arena,723.5699999999952,76.0
44,Allentown,799.7549999999883,73.5
12,Beechview,815.4549999999869,73.0
20,East Allegheny,849.6299999999981,71.8
56,Hazelwood,904.1949999999867,70.0
33,Central Oakland,911.8300000000013,69.8
27,East Hills,923.3099999999921,69.4
18,Marshall-Shadeland,931.124999999992,69.1
39,Sheraden,977.3850000000016,67.6
25,Brighton Heights,1015.9999999999933,66.3
38,Lincoln-Lemington-Belmar,1089.4750000000092,63.9
10,,1094.9299999999757,63.7
28,Brookline,1114.7299999999907,63.0
42,Squirrel Hill South,1125.225000000014,62.7
59,Knoxville,1146.8449999999982,62.0
6,Homewood North,1147.290000000002,61.9
15,Mount Washington,1149.7800000000038,61.9
19,East Liberty,1297.575000000049,57.0
46,Homewood South,1300.9200000000092,56.9
47,Shadyside,1346.9850000000627,55.3
11,Bloomfield,1469.0950000000669,51.3
8,Carrick,1940.260000000092,35.6
95,Central Business District,2515.985000000063,16.6
4,South Side Flats,3015.1600000000067,0.0
